data_source,region,sex,age,population
census,Quthing,male,45,1617.0
census,Quthing,male,50,1277.0
census,Quthing,male,55,1169.0
census,Quthing,male,60,1072.0
census,Quthing,male,65,940.0
census,Quthing,male,70,802.0
census,Quthing,male,75,529.0
census,Quthing,male,80,621.0
census,Thaba-Tseka,female,0,7967.0
census,Thaba-Tseka,female,5,8150.0
census,Thaba-Tseka,female,10,7688.0
census,Thaba-Tseka,female,15,6896.0
census,Thaba-Tseka,female,20,5422.0
census,Thaba-Tseka,female,25,5317.0
census,Thaba-Tseka,female,30,5099.0
census,Thaba-Tseka,female,35,4735.0
census,Thaba-Tseka,female,40,3330.0
census,Thaba-Tseka,female,45,1760.0
census,Thaba-Tseka,female,50,1483.0
census,Thaba-Tseka,female,55,1408.0
census,Thaba-Tseka,female,60,1321.0
census,Thaba-Tseka,female,65,1086.0
census,Thaba-Tseka,female,70,989.0
census,Thaba-Tseka,female,75,797.0
census,Thaba-Tseka,female,80,1093.0
census,Thaba-Tseka,male,0,7988.0
census,Thaba-Tseka,male,5,8195.0
census,Thaba-Tseka,male,10,7782.0
census,Thaba-Tseka,male,15,7121.0
census,Thaba-Tseka,male,20,5396.0
census,Thaba-Tseka,male,25,4895.0
census,Thaba-Tseka,male,30,4874.0
census,Thaba-Tseka,male,35,4670.0
census,Thaba-Tseka,male,40,3750.0
census,Thaba-Tseka,male,45,2362.0
census,Thaba-Tseka,male,50,1800.0
census,Thaba-Tseka,male,55,1617.0
census,Thaba-Tseka,male,60,1517.0
census,Thaba-Tseka,male,65,1288.0
census,Thaba-Tseka,male,70,1302.0
census,Thaba-Tseka,male,75,999.0
census,Thaba-Tseka,male,80,955.0
worldpop,lesotho,female,0,22997.2890625
worldpop,lesotho,female,5,111130.84375
worldpop,lesotho,female,10,101434.6171875
worldpop,lesotho,female,15,100822.578125
worldpop,lesotho,female,20,105477.65625
worldpop,lesotho,female,25,97412.4765625
worldpop,lesotho,female,30,85189.1953125
worldpop,lesotho,female,35,64652.3046875
worldpop,lesotho,female,40,42339.95703125
worldpop,lesotho,female,45,28763.416015625
